volcano_name,country,type,latitude_(dd),longitude_(dd),elevation_(m),continent
Nyambeni Hills,Kenya,Shield,0.23,37.87,750,Africa
Nyamuragira,Democratic Republic of Congo,Shield,-1.41,29.2,3058,Africa
Nyiragongo,Democratic Republic of Congo,Stratovolcano,-1.52,29.25,3470,Africa
Oahu,United States,Shield,,,1220,North America
Ojos del Salado,"Argentina, Chile",Stratovolcano,-27.12,-68.55,6887,South America
Okataina,New Zealand,Lava dome,-38.12,176.5,1111,Australia
Okmok,United States,Shield,53.43,-168.13,1073,North America
Oku Volcanic Field,Cameroon,Stratovolcano,6.25,10.5,3011,Africa
Ol Doinyo Lengai,Tanzania,Stratovolcano,-2.76,39.91,2962,Africa
Opala,Russia,Caldera,52.54,157.34,1776,Europe
Oraefajokull,Iceland,Stratovolcano,64.0,-16.65,2119,Europe
Oshima,Japan,Stratovolcano,34.72,139.4,764,Asia
Pacaya,Guatemala,Complex,14.38,-90.6,2552,North America
Pagan,United States,Stratovolcano,18.13,145.8,570,North America
Pago,Papua New Guinea,Caldera,-5.58,150.52,742,Australia
Papandayan,Indonesia,Stratovolcano,-7.32,107.73,2665,Asia
Paricutin,Mexico,Cinder Cone,19.5,-102.2,3170,North America
Parinacota,"Bolivia, Chile",Stratovolcano,-18.17,-69.15,6348,South America
Pauzhetka,Russia,Lava dome,51.45,156.97,1070,Europe
Pavlof,United States,Stratovolcano,55.42,-161.89,2519,North America
Pavlof Sister,United States,Stratovolcano,55.45,-161.84,2142,North America
Pelee,France,Stratovolcano,14.82,-61.17,1397,Europe
Peuet Sague,Indonesia,Complex,4.91,96.33,2801,Asia
Pico,Portugal,Stratovolcano,38.47,-28.4,2351,Europe
"Pilas, Las",Nicaragua,Stratovolcano,11.54,-85.62,1700,North America
Pinacate,Mexico,Cinder Cone,31.77,-113.5,1200,North America
Pinatubo,Philippines,Stratovolcano,15.13,120.35,1486,Asia
Pisgah Lava Field,United States,Volcanic field,34.75,-116.63,1495,North America
Piton de la Fournaise,France,Shield,-21.23,55.71,2631,Europe
